site_id,tipo,host_commune
S02,AUTO_MED,Comune_04
S10,AMB_ILS,
S11,AMB_ALS,
S01,AMB_ALS,Comune_07
S03,AMB_ILS,Comune_13
S04,AMB_ILS,Comune_12
S05,AMB_ILS,Comune_07
S06,AMB_ILS,Comune_07
S07,AMB_ALS,Comune_13
S08,AMB_ALS,Comune_02
S09,AMB_ILS,Comune_19
S12,AMB_ILS,Comune_04
BUY_AUTO_MED,AUTO_MED,Comune_04
BUY_AMB_ALS,AMB_ALS,Comune_02
BUY_AMB_ALS,AMB_ALS,Comune_06
BUY_AMB_ALS,AMB_ALS,Comune_07
BUY_AMB_ALS,AMB_ALS,Comune_09
BUY_AMB_ALS,AMB_ALS,Comune_10
BUY_AMB_ALS,AMB_ALS,Comune_11
BUY_AMB_ALS,AMB_ALS,Comune_12
BUY_AMB_ALS,AMB_ALS,Comune_13
BUY_AMB_ALS,AMB_ALS,Comune_14
BUY_AMB_ALS,AMB_ALS,Comune_16
BUY_AMB_ALS,AMB_ALS,Comune_17
BUY_AMB_ALS,AMB_ALS,Comune_18
BUY_AMB_ALS,AMB_ALS,Comune_19
BUY_AMB_ALS,AMB_ALS,Comune_20
BUY_AMB_ILS,AMB_ILS,Comune_02
BUY_AMB_ILS,AMB_ILS,Comune_04
BUY_AMB_ILS,AMB_ILS,Comune_06
BUY_AMB_ILS,AMB_ILS,Comune_08
BUY_AMB_ILS,AMB_ILS,Comune_10
BUY_AMB_ILS,AMB_ILS,Comune_11
BUY_AMB_ILS,AMB_ILS,Comune_12
BUY_AMB_ILS,AMB_ILS,Comune_14
BUY_AMB_ILS,AMB_ILS,Comune_17
BUY_AMB_ILS,AMB_ILS,Comune_18
BUY_AMB_ILS,AMB_ILS,Comune_19
BUY_AMB_ILS,AMB_ILS,Comune_20
