site_id,lat,lon,tipo,is_fixed,fixed_commune
S01,41.06227434603712,14.697817855497222,AMB_ALS,0,
S02,40.982382692755515,14.575196821131179,AUTO_MED,1,Comune_04
S03,41.22591957022381,14.456374576283388,AMB_ILS,0,
S04,40.99628086639043,14.001569568619034,AMB_ILS,0,
S05,41.067274382313144,14.101488580431427,AMB_ILS,0,
S06,41.275459298007235,14.780333833097734,AMB_ILS,0,
S07,41.03039346329107,14.576780156441718,AMB_ALS,0,
S08,41.42513861533147,14.765776509868665,AMB_ALS,0,
S09,40.84436129536215,15.051015155303219,AMB_ILS,0,
S10,41.29289509833061,14.75120523981296,AMB_ILS,1,
S11,41.03789923491451,14.058441559740253,AMB_ALS,1,
S12,41.041162858147956,14.339737953350177,AMB_ILS,0,
