comune,lat,lon
Comune_01,40.76104663149917,14.660603809210535
Comune_02,41.32393503379209,15.04514245045501
Comune_03,41.05072738515272,14.253333166923062
Comune_04,41.278772142264756,14.603338911159634
Comune_05,41.48239160959728,15.000041212375404
Comune_06,41.130796696328346,14.146486390335175
Comune_07,41.10089637092795,14.575753838741143
Comune_08,40.75764090668781,14.825450845012238
Comune_09,40.914751184081496,14.735914564972305
Comune_10,41.09990600066045,14.514528145719478
Comune_11,41.24338399689675,14.225333999327574
Comune_12,41.3429912288835,14.539842478000176
Comune_13,41.00475290651883,14.409623158323564
Comune_14,40.752749077524726,14.525141270336746
Comune_15,40.930516479446396,14.402479424358653
Comune_16,41.42767482217569,14.921709793740186
Comune_17,40.87070828286394,14.84551225717146
Comune_18,41.06169916945415,14.345394144933929
Comune_19,41.44496481575122,14.62988786590835
Comune_20,40.71991938204028,14.303653953163764
